Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
19667.83	19667830	19668.63	19668630	0.8	800															
19676.87	19676870	19677.47	19677470	0.6	600															
19714.3	19714300	19715.13	19715130	0.83	830															
20000.88	20000880	20001.48	20001480	0.6	600															
20405.51	20405510	20406.85	20406850	1.34	1340															
20425.38	20425380	20429.81	20429810	4.43	4430															
20430.63	20430630	20434.18	20434180	3.55	3550															
20455.52	20455520	20456.61	20456610	1.09	1090															
20581.43	20581430	20582.03	20582030	0.6	600															
20594.69	20594690	20595.69	20595690	1.0	1000															
20595.69	20595690	20596.29	20596290	0.6	600															
20597.83	20597830	20598.64	20598640	0.81	810															
20604.09	20604090	20605.84	20605840	1.75	1750															
20605.84	20605840	20606.44	20606440	0.6	600															
20664.91	20664910	20666.16	20666160	1.25	1250															
20671.71	20671710	20672.68	20672680	0.97	970															
20742.93	20742930	20743.73	20743730	0.8	800															
20746.96	20746960	20747.76	20747760	0.8	800															
20758.83	20758830	20759.63	20759630	0.8	800															
20765.51	20765510	20766.53	20766530	1.02	1020															
20767.53	20767530	20768.4	20768400	0.87	870															
20769.41	20769410	20770.41	20770410	1.0	1000															
20772.21	20772210	20773.41	20773410	1.2	1200															
20774.42	20774420	20775.44	20775440	1.02	1020															
20776.5	20776500	20777.3	20777300	0.8	800															
20781.81	20781810	20783.36	20783360	1.55	1550															
20784.42	20784420	20786.12	20786120	1.7	1700															
20788.83	20788830	20790.13	20790130	1.3	1300															
20791.99	20791990	20794.2	20794200	2.21	2210															
20798.04	20798040	20799.87	20799870	1.83	1830															
20803.89	20803890	20804.71	20804710	0.82	820															
20820.43	20820430	20821.24	20821240	0.81	810															
20825.69	20825690	20827.02	20827020	1.33	1330															
20828.43	20828430	20830.7	20830700	2.27	2270															
20830.7	20830700	20831.71	20831710	1.01	1010															
20838.46	20838460	20839.33	20839330	0.87	870															
20840.41	20840410	20841.51	20841510	1.1	1100															
20842.53	20842530	20843.53	20843530	1.0	1000															
20849.29	20849290	20849.91	20849910	0.62	620															
20850.96	20850960	20851.82	20851820	0.86	860															
20853.47	20853470	20854.36	20854360	0.89	890															
20866.15	20866150	20866.99	20866990	0.84	840															
20866.99	20866990	20867.59	20867590	0.6	600															
20874.76	20874760	20875.58	20875580	0.82	820															
20877.16	20877160	20878.47	20878470	1.31	1310															
20907.04	20907040	20908.14	20908140	1.1	1100															
20909.28	20909280	20909.98	20909980	0.7	700															
20909.98	20909980	20911.95	20911950	1.97	1970															
20945.39	20945390	20946.02	20946020	0.63	630															
20946.02	20946020	20946.86	20946860	0.84	840															
20947.72	20947720	20948.52	20948520	0.8	800															
20950.62	20950620	20951.63	20951630	1.01	1010															
20951.63	20951630	20953.75	20953750	2.12	2120															
20955.35	20955350	20956.66	20956660	1.31	1310															
20965.75	20965750	20966.8	20966800	1.05	1050															
20969.9	20969900	20970.83	20970830	0.93	930															
20971.63	20971630	20975.2	20975200	3.57	3570															
21032.73	21032730	21034.0	21034000	1.27	1270															
21037.96	21037960	21038.76	21038760	0.8	800															
21066.36	21066360	21066.96	21066960	0.6	600															
21097.02	21097020	21098.51	21098510	1.49	1490															
21109.43	21109430	21110.03	21110030	0.6	600															
21111.19	21111190	21112.09	21112090	0.9	900															
21124.37	21124370	21125.1	21125100	0.73	730															
21284.34	21284340	21285.43	21285430	1.09	1090															
21285.43	21285430	21286.27	21286270	0.84	840															
21297.27	21297270	21300.48	21300480	3.21	3210															
21301.89	21301890	21302.88	21302880	0.99	990															
21325.58	21325580	21326.46	21326460	0.88	880															
21334.13	21334130	21335.11	21335110	0.98	980															
21392.92	21392920	21393.74	21393740	0.82	820															
21428.44	21428440	21429.86	21429860	1.42	1420															
21431.54	21431540	21432.14	21432140	0.6	600															
21433.11	21433110	21434.11	21434110	1.0	1000															
22056.13	22056130	22056.82	22056820	0.69	690															
22225.59	22225590	22226.39	22226390	0.8	800															
22513.82	22513820	22515.35	22515350	1.53	1530															
22599.38	22599380	22599.98	22599980	0.6	600															
22658.01	22658010	22658.61	22658610	0.6	600															
23305.93	23305930	23306.53	23306530	0.6	600															
23409.93	23409930	23410.73	23410730	0.8	800															
23427.01	23427010	23427.81	23427810	0.8	800															
23463.89	23463890	23465.01	23465010	1.12	1120															
23465.01	23465010	23465.81	23465810	0.8	800															
23559.63	23559630	23560.34	23560340	0.71	710															
23641.23	23641230	23642.21	23642210	0.98	980															
23652.39	23652390	23652.99	23652990	0.6	600															
23691.86	23691860	23692.46	23692460	0.6	600															
23922.49	23922490	23923.49	23923490	1.0	1000															
24499.5	24499500	24500.18	24500180	0.68	680															
24596.49	24596490	24598.21	24598210	1.72	1720															
24632.01	24632010	24633.07	24633070	1.06	1060															
24635.5	24635500	24636.55	24636550	1.05	1050															
24676.69	24676690	24677.73	24677730	1.04	1040															
24678.61	24678610	24681.36	24681360	2.75	2750															
24712.67	24712670	24713.27	24713270	0.6	600															
24801.5	24801500	24802.5	24802500	1.0	1000															
24928.57	24928570	24930.59	24930590	2.02	2020															
25726.37	25726370	25727.51	25727510	1.14	1140															
25736.22	25736220	25737.19	25737190	0.97	970															
25739.82	25739820	25740.7	25740700	0.88	880															
25742.47	25742470	25744.54	25744540	2.07	2070															
25748.42	25748420	25749.22	25749220	0.8	800															
25750.69	25750690	25752.39	25752390	1.7	1700															
25784.41	25784410	25785.21	25785210	0.8	800															
26662.1	26662100	26662.9	26662900	0.8	800															
28216.22	28216220	28217.42	28217420	1.2	1200															
28864.49	28864490	28865.29	28865290	0.8	800															
28888.8	28888800	28889.6	28889600	0.8	800															
28903.78	28903780	28904.58	28904580	0.8	800															
28917.07	28917070	28917.87	28917870	0.8	800															
28925.34	28925340	28926.14	28926140	0.8	800															
28955.63	28955630	28956.23	28956230	0.6	600															
28960.85	28960850	28962.17	28962170	1.32	1320															
29191.23	29191230	29192.03	29192030	0.8	800															
29270.71	29270710	29271.53	29271530	0.82	820															
29275.11	29275110	29275.97	29275970	0.86	860															
29545.68	29545680	29546.28	29546280	0.6	600															
29899.35	29899350	29900.24	29900240	0.89	890															
31025.86	31025860	31026.86	31026860	1.0	1000															
31160.22	31160220	31162.29	31162290	2.07	2070															
31177.24	31177240	31178.47	31178470	1.23	1230															
31180.63	31180630	31181.46	31181460	0.83	830															
31186.48	31186480	31187.53	31187530	1.05	1050															
31187.53	31187530	31188.48	31188480	0.95	950															
31221.42	31221420	31222.59	31222590	1.17	1170															
31282.97	31282970	31283.82	31283820	0.85	850															
31286.35	31286350	31288.31	31288310	1.96	1960															
31289.34	31289340	31290.23	31290230	0.89	890															
31291.56	31291560	31292.79	31292790	1.23	1230															
31293.59	31293590	31294.39	31294390	0.8	800															
31295.91	31295910	31296.51	31296510	0.6	600															
31298.18	31298180	31299.12	31299120	0.94	940															
31306.29	31306290	31307.16	31307160	0.87	870															
31308.01	31308010	31309.4	31309400	1.39	1390															
31310.43	31310430	31312.39	31312390	1.96	1960															
31326.08	31326080	31326.88	31326880	0.8	800															
31328.23	31328230	31329.14	31329140	0.91	910															
31339.76	31339760	31340.6	31340600	0.84	840															
31343.35	31343350	31344.63	31344630	1.28	1280															
31351.66	31351660	31352.46	31352460	0.8	800															
31355.26	31355260	31358.89	31358890	3.63	3630															
31361.11	31361110	31361.98	31361980	0.87	870															
31363.34	31363340	31364.57	31364570	1.23	1230															
