Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*FAF	*TVN	*MAF	*CHF	*NON	*FAN	*OLN	
20127.24	20127240	20127.9	20127900	0.66	660															
20145.48	20145480	20146.28	20146280	0.8	800															
20182.02	20182020	20182.96	20182960	0.94	940															
20221.54	20221540	20222.79	20222790	1.25	1250															
20234.79	20234790	20235.51	20235510	0.72	720															
20235.51	20235510	20236.35	20236350	0.84	840															
20481.4	20481400	20482.0	20482000	0.6	600															
20713.45	20713450	20714.1	20714100	0.65	650															
20757.24	20757240	20759.35	20759350	2.11	2110															
20826.57	20826570	20827.87	20827870	1.3	1300															
20838.31	20838310	20838.95	20838950	0.64	640															
20839.75	20839750	20840.59	20840590	0.84	840															
21236.78	21236780	21238.58	21238580	1.8	1800															
21242.62	21242620	21243.47	21243470	0.85	850															
21244.55	21244550	21246.45	21246450	1.9	1900															
21248.84	21248840	21249.64	21249640	0.8	800															
21251.65	21251650	21254.08	21254080	2.43	2430															
22488.67	22488670	22489.81	22489810	1.14	1140															
22558.5	22558500	22559.3	22559300	0.8	800															
23111.84	23111840	23112.64	23112640	0.8	800															
23506.9	23506900	23508.23	23508230	1.33	1330															
23565.7	23565700	23566.3	23566300	0.6	600															
23698.28	23698280	23699.16	23699160	0.88	880															
23699.16	23699160	23700.16	23700160	1.0	1000															
23707.8	23707800	23708.88	23708880	1.08	1080															
23712.56	23712560	23713.57	23713570	1.01	1010															
23726.2	23726200	23727.0	23727000	0.8	800															
23736.74	23736740	23737.34	23737340	0.6	600															
23746.33	23746330	23746.93	23746930	0.6	600															
23751.41	23751410	23752.02	23752020	0.61	610															
23755.16	23755160	23755.93	23755930	0.77	770															
23788.16	23788160	23788.96	23788960	0.8	800															
23887.62	23887620	23888.68	23888680	1.06	1060															
23903.95	23903950	23904.95	23904950	1.0	1000															
24639.57	24639570	24640.7	24640700	1.13	1130															
24920.92	24920920	24921.97	24921970	1.05	1050															
24932.94	24932940	24933.58	24933580	0.64	640															
26994.75	26994750	26995.35	26995350	0.6	600															
27167.74	27167740	27168.82	27168820	1.08	1080															
27461.11	27461110	27461.91	27461910	0.8	800															
27574.51	27574510	27575.11	27575110	0.6	600															
27923.99	27923990	27924.79	27924790	0.8	800															
27926.53	27926530	27927.49	27927490	0.96	960															
