,Action,Start,End,Duration
345,&=crying ,03:37:15.160,03:37:20.290,00:00:05.130
346,&=crying ,03:37:25.500,03:37:27.630,00:00:02.130
347,&=crying ,03:37:30.590,03:37:31.290,00:00:00.700
348,&=crying ,03:37:34.580,03:37:36.990,00:00:02.410
349,&=crying ,03:37:36.990,03:37:37.890,00:00:00.900
350,&=crying ,03:37:38.190,03:37:41.560,00:00:03.370
351,&=crying ,03:37:42.400,03:37:44.460,00:00:02.060
352,&=crying ,03:37:51.100,03:37:51.700,00:00:00.600
353,&=crying ,03:37:54.700,03:37:56.380,00:00:01.680
354,&=crying ,03:37:59.250,03:38:06.910,00:00:07.660
355,&=crying ,03:38:07.800,03:38:11.950,00:00:04.150
356,&=crying ,03:38:12.750,03:38:15.820,00:00:03.070
357,&=crying ,03:38:15.820,03:38:16.850,00:00:01.030
358,&=crying ,03:55:04.650,03:55:05.100,00:00:00.450
359,&=crying ,03:55:07.360,03:55:07.970,00:00:00.610
360,&=crying ,03:55:34.360,03:55:35.660,00:00:01.300
361,&=crying ,03:59:47.420,03:59:47.520,00:00:00.100
362,&=crying ,04:00:46.590,04:00:46.830,00:00:00.240
363,&=crying ,04:04:43.420,04:04:43.930,00:00:00.510
364,&=crying ,04:05:20.840,04:05:21.440,00:00:00.600
365,&=crying ,04:05:22.240,04:05:22.990,00:00:00.750
366,&=crying ,04:05:34.310,04:05:34.930,00:00:00.620
367,&=crying ,04:05:40.730,04:05:41.380,00:00:00.650
368,&=crying ,04:06:18.940,04:06:19.550,00:00:00.610
369,&=crying ,04:06:21.870,04:06:22.690,00:00:00.820
370,&=crying ,04:06:26.160,04:06:27.210,00:00:01.050
371,&=crying ,04:06:31.400,04:06:32.380,00:00:00.980
372,&=crying ,04:07:07.230,04:07:07.450,00:00:00.220
373,&=crying ,04:07:07.770,04:07:08.260,00:00:00.490
374,&=crying ,04:07:10.550,04:07:11.560,00:00:01.010
375,&=crying ,04:07:15.780,04:07:16.440,00:00:00.660
376,&=crying ,04:07:17.760,04:07:21.760,00:00:04.000
377,&=crying ,04:13:51.190,04:13:52.850,00:00:01.660
378,&=crying ,04:13:54.520,04:13:55.680,00:00:01.160
379,&=crying ,04:14:00.570,04:14:01.640,00:00:01.070
380,&=crying ,04:14:06.010,04:14:06.320,00:00:00.310
381,&=crying ,04:17:10.690,04:17:11.040,00:00:00.350
382,&=crying ,04:21:41.360,04:21:42.010,00:00:00.650
383,&=crying ,04:22:22.890,04:22:23.490,00:00:00.600
384,&=crying ,04:22:58.190,04:23:00.120,00:00:01.930
385,&=crying ,04:23:01.550,04:23:03.280,00:00:01.730
386,&=crying ,04:23:15.020,04:23:15.730,00:00:00.710
387,&=crying ,04:23:20.960,04:23:21.620,00:00:00.660
388,&=crying ,04:24:09.050,04:24:09.420,00:00:00.370
389,&=crying ,04:24:23.270,04:24:23.820,00:00:00.550
390,&=crying ,04:24:27.440,04:24:28.240,00:00:00.800
391,&=crying ,04:24:28.240,04:24:29.020,00:00:00.780
392,&=crying ,04:24:30.620,04:24:32.520,00:00:01.900
393,&=crying ,04:24:40.230,04:24:40.950,00:00:00.720
394,&=crying ,04:24:52.230,04:24:52.860,00:00:00.630
395,&=crying ,04:24:56.630,04:24:57.060,00:00:00.430
396,&=crying ,04:25:07.800,04:25:09.030,00:00:01.230
397,&=crying ,04:25:16.890,04:25:17.350,00:00:00.460
398,&=crying ,04:25:33.310,04:25:34.120,00:00:00.810
399,&=crying ,04:25:35.170,04:25:35.850,00:00:00.680
400,&=crying ,04:25:37.320,04:25:37.920,00:00:00.600
401,&=crying ,04:25:56.130,04:25:56.730,00:00:00.600
402,&=crying ,04:25:57.940,04:25:58.540,00:00:00.600
403,&=crying ,04:25:59.340,04:25:59.880,00:00:00.540
404,&=crying ,04:26:02.300,04:26:02.790,00:00:00.490
405,&=crying ,04:26:03.590,04:26:04.190,00:00:00.600
406,&=crying ,04:26:05.890,04:26:06.700,00:00:00.810
407,&=crying ,04:26:08.160,04:26:08.760,00:00:00.600
408,&=crying ,04:26:16.990,04:26:18.410,00:00:01.420
409,&=crying ,04:26:21.670,04:26:22.470,00:00:00.800
410,&=crying ,04:26:30.020,04:26:31.330,00:00:01.310
411,&=crying ,04:27:15.440,04:27:16.220,00:00:00.780
412,&=crying ,04:27:19.200,04:27:19.750,00:00:00.550
413,&=crying ,04:27:19.750,04:27:20.840,00:00:01.090
414,&=crying ,04:27:22.740,04:27:25.220,00:00:02.480
415,&=crying ,04:27:29.050,04:27:30.550,00:00:01.500
416,&=crying ,04:27:31.850,04:27:32.830,00:00:00.980
417,&=crying ,04:27:33.690,04:27:34.860,00:00:01.170
418,&=crying ,04:28:04.800,04:28:05.750,00:00:00.950
419,&=crying ,04:32:10.610,04:32:11.280,00:00:00.670
420,&=crying ,04:32:18.560,04:32:19.440,00:00:00.880
421,&=crying ,04:32:24.470,04:32:25.660,00:00:01.190
422,&=crying ,04:32:31.070,04:32:31.800,00:00:00.730
423,&=crying ,04:41:38.230,04:41:38.860,00:00:00.630
424,&=crying ,05:08:00.630,05:08:01.290,00:00:00.660
425,&=crying ,05:08:02.650,05:08:03.140,00:00:00.490
426,&=crying ,05:08:05.050,05:08:05.770,00:00:00.720
427,&=crying ,05:08:10.680,05:08:11.780,00:00:01.100
428,&=crying ,05:08:21.550,05:08:22.240,00:00:00.690
429,&=crying ,05:09:18.980,05:09:21.000,00:00:02.020
430,&=crying ,05:13:44.870,05:13:45.130,00:00:00.260
431,&=crying ,05:14:28.420,05:14:28.910,00:00:00.490
432,&=crying ,05:14:29.940,05:14:30.550,00:00:00.610
433,&=crying ,05:14:30.550,05:14:31.370,00:00:00.820
434,&=crying ,05:14:31.370,05:14:31.860,00:00:00.490
